GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,25.13314819,24.6695731,24.56576974,24.65417916,25.13843645,25.4206761,25.66784232,25.98219953,26.14776611,25.92279489,26.02533831
bccr_bcm2_0,24.9027274,24.59602574,24.52253941,24.40481567,25.02970232,25.37888881,25.53126744,26.06584385,26.2109593,25.88600377,25.89440482
cccma_cgcm3_1,25.58113316,26.60120501,27.06621443,26.74321638,25.04821341,24.79669625,24.74195208,24.74858747,24.47977121,24.00444249,24.69794573
cccma_cgcm3_1,25.36339896,26.02132307,26.78549194,26.50497437,25.18562099,24.64968872,24.62148612,24.47075544,24.35224697,23.99416678,24.60624913
cnrm_cm3,25.44900077,24.99555751,24.74813843,24.82972063,25.1836853,25.24035209,25.34671021,25.69645473,25.72552054,25.80966622,26.12642125
cnrm_cm3,25.47994559,25.04324341,24.79611642,24.9039917,25.23034232,25.28374808,25.37789045,25.75334821,25.69941493,25.79083252,26.12506104
csiro_mk3_5,29.35289219,29.51360212,29.73274013,30.23560006,31.09588187,31.41373553,30.70355225,30.57073103,30.728799,31.04741996,30.49309867
csiro_mk3_5,31.12819999,31.21238491,30.6343471,30.58704921,30.64709909,30.66634696,30.38729858,30.00807408,29.39564296,29.46611677,29.70033046
gfdl_cm2_0,27.34078543528571,28.119794573099995,28.256142752500004,28.67314801897143,28.34918648855714,27.225760323671434,27.248883928571434,27.43211146762857,27.590876988,27.32247052874286,27.011945452
gfdl_cm2_0,27.529401506685712,27.930310930528574,28.207515171585715,28.665305001399997,28.358215332028575,27.183183942542854,27.1847795759,27.370047433028578,27.47647966657143,27.332244873042857,27.05850655692857
gfdl_cm2_1,26.824637276785715,27.105102539071428,27.23344203404286,27.60753086635714,27.463361467628573,26.8392464774,26.856968470971427,27.368103027328573,27.373164585642858,27.273520333442857,26.943629673542862
gfdl_cm2_1,26.38007027762857,26.82689993722857,27.30433000837143,27.605839320571427,27.40114920481429,26.66284615652857,26.77726963585714,27.222669328971424,27.182490757514284,27.20394025531428,26.803270612428573
ingv_echam4,27.274575369699996,27.19047328404286,27.172520228800003,27.085549490785713,27.0546003069,26.928527832042857,27.061815534342855,27.405944824214284,27.204707554414284,26.791639055528574,26.74356515065714
inmcm3_0,26.57298060827143,26.804347446999998,27.16632516044286,27.705300467357144,27.17183576311428,26.095097133114283,25.837982177742855,26.252698625842857,26.5849783761,26.483651297442858,26.31872122628571
inmcm3_0,26.52451433452857,26.59606933594286,27.186039515900003,27.68170601981429,27.17744663782857,26.0871494838,25.749285016742853,26.259822300485713,26.556165422728572,26.578861781514284,26.393842424657148
ipsl_cm4,26.50694928851428,26.529920305528574,27.024618966257144,27.68073381695714,28.041364397342853,27.60273088727143,27.503199986057144,27.699502127514286,27.871503557471424,27.88701084682857,27.578356061685714
ipsl_cm4,26.551060267871428,26.67204938615714,27.1541268485,27.709965297142862,28.064627511171427,27.567034040185714,27.400512695314287,27.657444545199997,27.815464564742854,27.858472551614284,27.58765956332857
miroc3_2_medres,27.55549403597143,28.474487304700006,29.920610700342856,30.372257777642858,29.284306117471427,27.719063895085714,27.800837925485716,28.59170968191429,29.26546805245714,28.03090558732857,27.392224993028574
miroc3_2_medres,27.438781738285716,28.310956682471424,29.697313581171425,30.340676443914283,29.11413138252857,27.21639142715714,27.284057617200002,27.911869594042855,28.785356794085715,27.583025251114286,26.843405587314287
miub_echo_g,30.640699114114284,30.204554966528576,29.568865094857138,27.687752859942858,26.439078194742855,26.11108834402857,25.96357073102857,25.823499407085716,25.82849121092857,25.869362967342855,26.636112758085716
miub_echo_g,30.652230398999997,30.222991943371426,29.835688999728575,27.82746669225714,26.21442086355714,25.969308035728567,25.926051548557144,25.702048165442857,25.64593069894286,25.78863525391429,27.036381312771425
mpi_echam5,27.336434500557147,27.30201067244286,27.898594447542855,28.359767368857142,28.159419468471423,28.05803135464286,28.136871337871433,27.99975149972857,28.069732666014286,27.290954589828573,27.058628627242857
mpi_echam5,26.942779541,26.990788051071426,27.54566737584286,28.10151890344286,28.0026070731,27.73301042828572,27.71340506418571,27.804574149,27.651986258385712,27.208173479342857,26.785138811414292
mri_cgcm2_3_2a,27.04821777345714,27.207824707014286,27.70349121094286,28.1867327009,27.761378696985712,27.429534912114285,26.94496808731429,26.616816929385717,26.79696655275714,26.854997907357138,26.834974016471428
mri_cgcm2_3_2a,26.926997593485712,27.132664271757147,27.827187674371427,28.152919224314285,27.784890311085714,27.337214878614283,26.86459786552857,26.550724574485717,26.77448381695714,26.825592041028568,26.73164149692857
ukmo_hadcm3,27.025011335085708,27.33966500417143,28.247083391471428,28.990613664914285,28.814631870814285,28.424346923828573,27.966129847942852,28.2794581822,28.557604108542854,28.662222725985714,28.289825439442858
ukmo_hadcm3,26.933563232414286,27.36390904017143,28.14719499861429,28.966112409314285,28.862596784314285,28.323464529842855,27.952484130871426,28.33054024832857,28.507956368585713,28.507742745528578,28.01232474191428
ukmo_hadgem1,26.37856619698571,26.053889683299996,26.028782435828578,26.601880754771432,26.952152797142855,26.677830287371428,26.45628574915715,26.632498604900004,27.06343296597143,27.11898803711429,26.934958321714284
