GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,25.39036144,25.29885957,25.32581306,25.16119477,24.84044393,24.35022712,24.02901944,23.96734897,24.11114502,24.40382062,24.9260855,25.34619603
cccma_cgcm3_1,26.09375277,26.17474643,26.09085175,25.94481682,26.01377175,25.6649734,25.36140026,25.43103305,25.76719804,26.13974924,26.19035756,26.38722553
cnrm_cm3,25.5874828,25.60905595,25.61499208,25.44870088,25.09624412,24.71345751,24.09100897,23.79181741,23.99201179,24.41808065,24.82172463,25.27834991
csiro_mk3_5,29.07087014,29.06285141,29.05484564,29.06147997,28.46361935,27.77142426,27.47666792,27.55224147,27.80074241,28.01486391,28.53354714,28.87841427
gfdl_cm2_0,26.4595151959,26.521412242545455,26.53257612747878,26.271833939978784,25.7074843898,25.37641028201818,25.08337217388485,25.31447809391516,25.568480520539396,25.83213205049393,26.165241588242424,26.50311556729697
gfdl_cm2_1,26.418828790833338,26.508955522009092,26.427152691460606,26.283382531369696,25.76477975556364,25.193901293203034,24.848038182115147,25.014570756393944,25.457036798651515,25.736210678569705,25.907562255854547,26.250118371212114
ingv_echam4,27.123411236387888,27.01185931580909,26.831282182172735,26.825487541433333,26.500535444781818,25.999176025381818,25.66053633256363,25.598102916357572,25.641854950887886,25.884096087827274,26.20495235559091,26.800654555812116
inmcm3_0,25.76595052082728,25.748856053203028,25.41475885564545,24.940003366181823,24.670504483306047,24.461693041254545,24.242585153290907,24.28496667111818,24.62952122543636,24.957878343990906,25.01214692087273,25.471376361269694
ipsl_cm4,27.14411417643333,27.35458374022727,27.463053385406067,27.431524103333334,27.047888553496975,26.318831935078787,25.7652338201303,25.732626250293944,26.024363199875758,26.639999852027277,26.976199988160605,27.123995694251512
miroc3_2_medres,26.134033203118193,26.313709605827274,26.491743607957574,26.333185369321214,26.014358058127268,25.57972763524242,25.339615330557574,25.290922222718184,25.296488444015154,25.495887525148476,25.706591981830307,25.891228878127272
miub_echo_g,26.68407740737273,26.704593542854553,26.642063025269703,26.58267396868788,26.207016453600005,25.968988591972725,25.667719060730303,25.583306514860602,25.69576471501818,25.915250835993938,26.240374940812124,26.62119824958485
mpi_echam5,27.261137066460602,27.225157766636368,27.106600674721218,27.1538104433,27.067194158381817,26.690634987566664,26.360688180633336,26.27646983753637,26.4558456883303,26.647126168924235,27.06661894827576,27.395102761012122
mri_cgcm2_3_2a,26.810460870915154,26.79499678178788,26.953038071136373,26.940813469157572,26.64096069336364,26.328723329493943,26.00090720436061,26.001072739112125,26.22785533557879,26.5957438151,27.079292990939393,27.236010927145454
ukmo_hadcm3,28.422305020415155,28.508629076412124,28.41062326141818,28.256107214724242,27.796009410506066,27.23186885949091,26.850447221221206,26.857518051615152,27.018842292551515,27.37551325018484,27.764269279709097,28.1827253861788
ukmo_hadgem1,26.81365042021515,26.857389507872718,26.836977871978785,26.53637787788788,26.239178281845454,25.659748424184848,25.243850245627268,25.224318995612116,25.461319432106063,25.7542178992,26.19895426432122,26.647515499236363
