GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,18.69424057,19.50350444,19.35649872,18.43902906,16.70858701,15.04906019,14.70867284,17.54511325,18.98662059,18.88643265,18.7749157,18.61788559
cccma_cgcm3_1,19.22799492,19.33773804,19.62930044,19.46839396,18.40754318,17.27087784,17.37744141,19.01017443,19.85882886,19.75106366,19.52591578,19.08698082
cnrm_cm3,20.86813863,21.18492254,20.93040466,19.9067688,18.64364433,17.44269753,17.42580287,18.92856598,20.24991226,20.64146042,20.40484746,20.49414762
csiro_mk3_5,23.52947553,22.90634791,22.37165642,22.05642255,21.84337934,22.15655327,22.69753329,24.26031558,25.95988909,26.17522558,24.74333954,24.37138812
gfdl_cm2_0,21.10504659017708,21.17472203572292,20.894511540733333,19.79641977946292,19.043742497760626,19.67881011963667,20.8963737487775,22.533742904655202,22.973110834751665,22.08297920227291,21.209555308033334,20.900981267285417
gfdl_cm2_1,21.402381261193753,21.435688018800004,21.197717030845833,20.240797042845838,20.035060882561876,20.409181594851876,21.46722284952729,23.510932286577084,24.603200912464587,23.848015467324995,22.52501106262292,21.805681864427083
ingv_echam4,20.014272054033544,20.155435562139576,20.00994364420875,19.592473347982498,18.989774703985873,18.705204645787123,19.39061482747172,21.30548858642229,21.080615997314165,20.03465080260563,19.76891644796125,19.78991508483438
inmcm3_0,22.129417419433334,22.118363062541665,22.076107660931246,21.334904352824996,19.922529220580625,18.230203628541666,17.913249333697706,19.56399472554479,21.652671813966663,22.624190012610423,22.74087715148333,22.406017939247917
ipsl_cm4,24.37809944153125,24.627473195389587,24.77450052897083,24.586683909095836,23.506472905468755,22.135612487787498,22.194537480675,23.86770375569584,25.007638931274997,24.72513834635625,24.505243301389573,24.329990386958332
miroc3_2_medres,20.447214762368745,20.798093795775006,21.108859380087498,20.877059936527083,19.622790018714593,17.91780153910146,17.366919835411043,19.527596791585417,21.69816462198958,21.422846476235417,20.98428599039375,20.567224502564585
miub_echo_g,20.869258880616666,20.810836156206253,20.540418624883326,20.180542627968748,19.81630134583125,19.181776682535205,19.774681091303957,22.085536321004795,22.51167869567917,21.498111089075,21.50391260783334,20.981475194289583
mpi_echam5,20.813734690348753,20.741444905596044,20.780796051022293,20.466892878208125,19.931138356525,19.38371340433271,19.825977961219795,21.81020037333937,22.566761652626663,21.893461227413752,21.244900385543335,20.864910125729374
mri_cgcm2_3_2a,21.467763900756253,21.66944630940417,21.959611892697918,21.54294331868125,20.610781351722917,19.566878636677078,19.170768102016673,19.82498550414792,20.768667856849998,21.31267801920833,21.5338344574,21.47286415100209
ukmo_hadcm3,22.533360163377083,22.554941813158337,22.37347857156459,21.91355768839396,20.70955975850333,19.309555053714792,18.913574854532083,20.856320699055413,22.349984486895423,22.941819508868758,22.619998931887494,22.414787928258345
ukmo_hadgem1,21.591086069743742,22.011578241979375,21.887182871503754,21.20138549804042,20.20794105529438,19.026714324944997,18.66989135742354,19.397640228274792,20.488345464068747,20.9531040191552,20.991144180301045,21.112578709916455
