GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,19.41455968,20.35964648,20.12895457,19.21537399,17.53042221,15.71920713,15.69768906,18.45854187,19.7013766,19.52711678,19.49077797
bccr_bcm2_0,19.38445282,20.26982244,20.12881851,19.19592412,17.31350517,15.85135523,15.5290947,18.27061335,19.5198555,19.54828453,19.46140035
cccma_cgcm3_1,20.51153755,20.38052559,20.63354747,20.68958092,19.62429428,18.57860947,18.93846448,20.41405233,20.98876317,20.94008764,20.64999072
cccma_cgcm3_1,20.33881887,20.20561218,20.36720276,20.56110509,19.53938929,18.3657678,18.57518641,19.99403763,20.93162473,20.68071938,20.50663757
cnrm_cm3,22.25899696,22.40747197,22.05136108,21.24788221,19.56104724,18.4062926,18.40343475,20.13512293,21.41113408,21.56282361,21.55416743
cnrm_cm3,21.98046748,22.25406901,21.95841408,20.99157015,19.43011665,18.26000786,18.51686033,20.21925418,21.42647743,21.54548264,21.56313833
csiro_mk3_5,24.61892573,24.28244718,23.44270706,23.42347145,23.39322344,23.68493144,24.26519012,25.69988696,27.46569506,27.61370722,25.87252363
csiro_mk3_5,23.2462724,23.61662801,24.10192998,25.61417834,27.13859495,27.04616292,25.95593007,25.85142136,24.90228589,24.05416552,23.47113736
gfdl_cm2_0,21.714430491129164,21.95633316040417,21.81428273518541,21.08994356791458,20.017299652100625,20.60819943746146,22.20343780517146,23.71719932556458,24.21999168396251,23.523819605510415,22.205865859983334
gfdl_cm2_0,21.669916788729168,21.833501815793753,21.767173131306247,21.04326184591459,19.93419329324917,20.65174484252979,22.05103429158417,23.504079182943755,24.161320368450003,23.65465227762708,22.271839141850005
gfdl_cm2_1,22.48924382527292,22.47608311971251,22.03334617614375,21.385658264168743,21.101036071775,21.74335606893125,23.033580780025,24.82393201192292,25.883296966549995,25.04441769917501,24.111091613766664
gfdl_cm2_1,22.084242502852078,22.259162902820833,21.86449305217083,21.112945556637502,20.916824340821254,21.41066487629688,22.85447057088021,24.57009124755625,25.480428059893757,24.762691497795828,23.45692634582292
ingv_echam4,21.190553029379995,21.279180526728336,21.02491950987937,20.595677693686667,20.076326370239375,19.826402664189587,20.54863802591751,22.480315526326248,22.117783864344997,21.221684137976045,20.87014325460083
inmcm3_0,22.880211512247925,22.90433375040833,22.805812835693747,22.39772733052708,20.859128952023333,19.592917124431253,19.23042360941771,20.628206888828334,22.608416239412495,23.65691947937293,23.603429794306262
inmcm3_0,22.85877291360625,22.73611831664375,22.79973920185209,22.39904467265416,20.855094909669997,19.433837890624165,19.113672256472917,20.694698333739797,22.681646347047913,23.623970667525,23.600873947150003
ipsl_cm4,25.38717015584375,25.643016179391676,25.746296564735417,25.661631902064585,24.72972551981042,23.436106999708333,23.392982482912497,25.07245381673333,26.146444956462503,26.01421801248959,25.49195480346876
ipsl_cm4,25.29643885294792,25.793316523233333,25.73271369934375,25.600283304845835,24.61092249551459,23.314174652100004,23.330821355181254,25.056905746458337,25.949380874631256,25.672918955479172,25.46761131286458
miroc3_2_medres,21.999488194787492,22.304637273154167,22.409455617262495,22.065191904704164,20.807799021395834,19.26681772868125,18.912047068270827,21.015837351477085,22.92010052998334,22.43819745382083,22.021464029945832
miroc3_2_medres,21.622116088868747,21.911646525062505,22.11124738057916,21.725407918293755,20.6819057464625,18.938076655067498,18.514970143637914,20.569371541352083,22.73593711852917,22.231898625685417,21.941956837979173
miub_echo_g,21.656389872229173,21.735466639195835,21.37579154969167,21.072913487747922,20.738435745239588,20.380182902016667,21.026201883951877,23.451509475707287,23.679735819497918,22.39709854126042,22.45100021363125
miub_echo_g,21.601498285929164,21.495829264320832,21.369100570677087,21.014085133870832,20.66699028015208,19.97622235615792,20.905096689863544,23.537960688266462,23.273808797208343,22.30208396911459,22.3375225067125
mpi_echam5,21.63732592264459,21.545625050860824,21.403430302936243,21.273447036748333,20.86243820190479,20.264254252111666,20.910222371416463,22.899241129555833,23.813241958624165,22.832413991289588,22.14707628885833
mpi_echam5,21.339115142824582,21.249450047809372,21.252513885495414,20.969574610394794,20.715025583907707,20.063851674392293,20.425762812304587,22.367348353072078,23.299993515013544,22.6982644399,21.877379735310424
mri_cgcm2_3_2a,22.131076812743753,22.375501632687506,22.50538317362292,22.14943885803125,21.29258918762292,20.189626693725,19.848941802975002,20.580646514897918,21.470382690429172,22.105113983147916,22.225578943885427
mri_cgcm2_3_2a,22.00852902730209,22.1013323466,22.46168263752708,21.99386024475417,21.07228851318542,19.986066182458334,19.658411025997914,20.39221509296875,21.386224110912508,21.88005765279166,22.14193407694792
ukmo_hadcm3,23.79006703693959,23.441122055054166,23.461495081585422,23.09305953979167,21.86116790771292,20.469163258872708,20.358501434326044,22.676061630250416,24.367110570270835,24.717151006062508,24.0342458089125
ukmo_hadcm3,23.70531972249374,23.65480105081875,23.38963127136458,22.965293884279166,21.786570866903748,20.417200088499797,20.33040046691938,22.798827489209376,24.08704503376667,24.513947804770833,23.985215504968746
ukmo_hadgem1,22.325651804604174,22.932544708251246,22.78239822387667,22.00425148010605,20.930621465043544,19.782885233562503,19.340677261347917,20.13065338133062,21.54165903727458,22.149358749382497,22.067274729409373
