GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,24.62192594,24.5120251,25.14335984,25.85282898,26.47083459,26.82658504,26.71207369,26.86835304,27.15430627,26.95694204,26.47697097,25.55926514
bccr_bcm2_0,24.30329308,24.30862896,25.06961294,25.80056528,26.42633057,26.67333867,26.57116817,26.83221318,27.15107023,26.98121291,26.48818852,25.39141494
cccma_cgcm3_1,26.71256315,26.57246634,27.42371662,28.08759367,28.33255357,28.50237215,28.40237192,28.38999117,28.25381352,28.01440547,27.65301866,27.13543819
cccma_cgcm3_1,26.48451937,26.54254972,27.35828693,28.09504465,28.27599159,28.47144024,28.29650762,28.19468454,28.0512531,27.87998845,27.53001052,26.95951256
cnrm_cm3,25.29223515,24.88870591,25.25415391,26.12570308,26.93619831,27.18025325,27.05356657,26.92153696,27.00761883,27.06735464,26.87342482,26.1413985
cnrm_cm3,25.45320716,24.97007986,25.2246305,26.11742342,26.86358173,27.11246197,26.98126808,26.99476741,27.0856558,27.05535419,27.00697679,26.32883629
csiro_mk3_5,28.19636066,28.15010071,28.9643942,30.24864314,31.217122,30.80724628,30.12986403,30.05426143,30.2157851,30.22872103,29.88546166,29.16788189
csiro_mk3_5,31.37037893,30.76400522,30.10456496,30.02670523,30.29567308,30.14145484,29.94983614,29.13143451,28.25867169,28.03865403,28.8079388,30.16619521
gfdl_cm2_0,24.544131939226926,25.14182340181539,26.571361835176926,28.076147226188464,28.889291616584615,28.50028874323461,27.898318950942308,27.913570697488463,28.026381272526926,27.661810067980774,26.834859994750005,25.543863149788457
gfdl_cm2_0,24.692962646480762,25.18742840106154,26.699718768773078,28.00252709021538,28.837782639723077,28.439075176526924,27.90765263485,27.883664644692303,27.94719050481154,27.567118718088462,26.676466721753847,25.549161470861534
gfdl_cm2_1,24.980964073757697,24.950620211088463,25.942156278169236,27.474537776057687,28.406661987296157,28.390715378980772,27.98604759802693,27.947652963496147,28.112025334292312,27.700141319857696,27.00776085486154,25.92640568660385
gfdl_cm2_1,24.952232947715387,24.794649564296154,25.856182391830767,27.373491727399998,28.499267578130763,28.462073692903854,27.79772714468077,27.749946007361544,27.924189640926922,27.70112375112692,26.95546663724231,25.834940983692302
ingv_echam4,27.481861994811542,27.143925593453844,27.377393282380773,28.071332491361545,28.568920428930767,28.668318528399993,28.631389911361527,28.740566547100006,28.557246281546156,28.427730853730772,28.365210899934613,28.053642859826912
inmcm3_0,25.594579843376923,25.72018549992307,26.250205406765375,26.66705439639999,26.974650456346158,27.57881399301154,27.720555232123072,27.846207838788455,27.87001154972692,27.52657963679616,26.849491999703844,26.310282780565387
inmcm3_0,25.511221078734618,25.50901442308462,26.073545015776922,26.64653367262307,27.079215416542315,27.673564030569235,27.62965510441923,27.711280235876924,27.697966355546153,27.4699390118,26.828729482796152,26.142640333907693
ipsl_cm4,26.116604144757694,26.193020160392315,27.190223106965387,28.487907996542297,28.8552140456,28.613026545600007,28.658316979038467,28.490287193884622,28.292838463411535,28.055911724384615,27.55622394268462,26.73795259915769
ipsl_cm4,26.16044381948846,26.299453735334616,27.262377225438456,28.280475323011537,28.83518629807308,28.703310452969223,28.63004361667308,28.467248769900003,28.31163729154616,28.06001985989615,27.48239370493077,26.560485839842308
miroc3_2_medres,26.146809504576918,26.29594538761154,26.79229384201538,27.63101196289231,28.334557166469235,28.504284198469232,28.223820612976926,28.27839308518461,28.290959284857692,27.96295166015385,27.375177236719235,26.700839702892303
miroc3_2_medres,26.140082726111544,26.15442129281539,26.71396343524231,27.525875384988453,28.24066396858846,28.374163114111543,28.096733680126924,28.262780996473076,28.187904944796152,27.90843318058846,27.41181241548077,26.69909550593077
miub_echo_g,27.583693284246156,27.365890502923076,28.044951218826927,28.37517136793846,28.695649367107688,28.41156710110769,27.62172640286154,27.445244422323075,27.499379084665385,27.564937884984623,27.627474271334616,27.462422297546155
miub_echo_g,27.59304809570385,27.42820504994616,27.855082585253847,27.8409353403,28.46545058030385,28.364310631384622,27.635627159711536,27.394342275769233,27.371911855846157,27.64129403921924,27.955067561230766,27.84566908616923
mpi_echam5,26.225629366373077,26.04039705716154,26.850226769065387,28.27047612117693,29.32030193622692,29.249315701996156,28.676654522230766,28.383663470930763,28.263204721307694,28.12480515699616,28.061861478369227,27.191864013676927
mpi_echam5,26.56925142728846,26.364856426530764,26.915919377257694,28.193439190207695,29.043684739334612,29.13146972656538,28.697773860050006,28.389785766599996,28.24310889611923,28.10826932466154,28.017957247215392,27.290422879734617
mri_cgcm2_3_2a,25.893566425034614,26.204330444342308,27.11432706392308,27.992464505711546,28.316369863657687,28.151336669923072,27.41134643555385,27.109547541688464,27.211881197415387,27.18202444223077,26.771724994353843,26.060193575342307
mri_cgcm2_3_2a,25.85360835148846,26.118855403015385,26.907774705161543,27.816871056192312,28.323424119207694,27.970237145053847,27.30691645695769,26.99326852651923,27.105201134319227,27.054162832411535,26.894668579099996,26.19977863018077
ukmo_hadcm3,27.502442580007692,27.354242178100005,28.307500985938457,29.580221322865384,29.94896521934616,29.957733154296157,29.6712282621,29.66879037709615,29.595217191261533,29.402228722207692,28.852090688857693,28.188446044926927
ukmo_hadcm3,27.27210411658077,27.17843510553461,28.164688110349996,29.487011249242318,29.82843604454231,29.79002967247307,29.571745652423083,29.645354050857705,29.511741051303844,29.306361271788468,28.809260441707696,28.043149507957686
ukmo_hadgem1,26.840488140396154,27.347018902111532,28.157037588249995,28.95428584171538,28.684035081134603,28.1357644888,28.109005267811536,28.296559260442304,28.159037663376925,27.785238412715387,27.54936805139615,27.110479501584617
