GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,23.60246277,23.03471375,23.03352356,23.53305054,24.3394165,24.97302246,25.84628296,26.51467896,26.48371887,26.19450378,25.4453125,24.51139832
cccma_cgcm3_1,24.95018005,24.31190491,24.28260803,24.66744995,25.47636414,26.23320007,26.80873108,27.2260437,27.41252136,27.38995361,26.89276123,25.97322083
cnrm_cm3,23.80522156,23.44044495,23.27911377,23.58531189,24.10083008,24.5267334,25.03118896,25.49728394,25.63624573,25.59103394,25.23168945,24.47253418
csiro_mk3_5,26.85308838,26.49530029,26.39547729,26.77209473,27.53704834,28.03237915,28.47451782,28.81513977,28.93817139,28.76675415,28.28036499,27.49101257
gfdl_cm2_0,23.50030517575,23.114852905249997,23.2029724121,23.558303833,24.29963684085,24.8992919922,25.5770111084,26.22172546385,26.456420898399998,26.0270385742,25.21057128905,24.355148315450002
gfdl_cm2_1,23.93870544435,23.475067138649997,23.45960998535,23.718673706049998,24.3293914795,24.97607421875,25.9597015381,26.97300720215,27.3391571045,26.8471069336,25.9590911865,24.903823852549998
ingv_echam4,26.66955566405,26.32095336915,26.2303314209,26.45729064945,26.89306640625,27.3466949463,27.705551147450002,28.25344848635,28.43486022945,28.29954528805,27.93673706055,27.2354736328
inmcm3_0,23.6741027832,23.29893493655,23.376937866200002,23.7023773193,24.4991607666,25.454971313500003,25.98667907715,26.247177124,26.4797973633,25.9772186279,25.2576293945,24.32235717775
ipsl_cm4,23.737411499,23.47079467775,23.56927490235,23.917938232399997,24.60986328125,25.26466369625,25.87545776365,26.21981811525,26.27352905275,25.94931030275,25.262588501,24.4390258789
miroc3_2_medres,23.232131958,22.7530517578,22.58819580075,22.8569488525,23.48223876955,24.161102294899997,24.846435546899997,25.4281311035,25.68998718265,25.586090087899997,25.06341552735,24.16610717775
miub_echo_g,25.2510681152,24.86807250975,24.75953674315,25.08297729495,25.8844909668,26.5444793701,26.99911499025,27.2766723633,27.239196777350003,27.019943237299998,26.5339202881,25.8221282959
mpi_echam5,25.79382324215,25.471832275399997,25.45471191405,25.8402862549,26.80084228515,27.499588012700002,27.99658203125,28.494613647450002,28.54075622555,28.36563110355,27.8761138916,26.7522735596
mri_cgcm2_3_2a,24.822769165049998,24.758132934549998,25.0050811768,25.7982940674,26.3383331299,26.79417419435,27.20919799805,27.42303466795,27.5467376709,26.8043060303,25.989654541,25.36384582515
ukmo_hadcm3,26.1492767334,25.743682861350003,25.69763183595,26.04455566405,26.6264190674,27.201675415049998,27.50411987305,27.77139282225,27.9404296875,27.942794799799998,27.540496826149997,26.807281494149997
ukmo_hadgem1,24.105484008749997,23.5679779053,23.3914642334,23.849197387700002,24.4635925293,25.176284790049998,25.91035461425,26.42582702635,26.8065032959,26.869552612299998,26.25856018065,25.0694885254
