GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,18.03170776,18.79646301,19.37683105,19.51133728,18.42134094,17.58178711,17.33258057,18.66531372,19.72874451,19.94361877,18.89865112,17.95744324
bccr_bcm2_0,18.26190186,18.67779541,19.07246399,19.26942444,18.48538208,17.45106506,17.26599121,18.67510986,19.54995728,20.10940552,18.73323059,18.30880737
cccma_cgcm3_1,19.07426453,19.62181091,20.01589966,20.13529968,20.54675293,20.20372009,20.44633484,20.98799133,20.80767822,20.00151062,18.79411316,18.60313416
cccma_cgcm3_1,19.02351379,19.67871094,19.90914917,20.27908325,20.39953613,19.86289978,20.22070313,20.60258484,20.8012085,19.74630737,18.76902771,18.64772034
cnrm_cm3,19.5869751,20.43507385,20.85169983,20.22712708,19.54216003,18.41270447,18.48286438,20.63391113,21.389328,20.57220459,19.79084778,19.66047668
cnrm_cm3,19.79258728,20.43937683,20.8163147,20.27532959,19.5397644,18.4911499,18.43811035,20.48005676,21.24154663,20.67208862,19.45030212,19.33283997
csiro_mk3_5,23.57275391,23.99736023,24.54167175,24.99949646,24.78495789,25.22271729,25.37333679,25.65557861,25.59771729,24.17059326,23.48033142,23.12510681
csiro_mk3_5,25.10067749,25.22401428,25.3074646,25.49945068,25.23135376,23.96887207,23.08604431,22.86979675,23.23135376,23.93351746,24.40138245,24.8817749
gfdl_cm2_0,18.357666015649997,19.0388793945,19.654586791950003,19.82983398435,19.21548461915,19.93110656735,21.299789428700002,21.62843322755,20.8244934082,19.91371154785,19.11239624025,18.1125793457
gfdl_cm2_0,18.20872497555,19.030166625950002,19.5996551514,19.76904296875,19.225555419899997,19.90731811525,21.30815124515,21.50228881835,21.09924316405,19.9229736328,19.018539428700002,17.9895629883
gfdl_cm2_1,19.9758758545,21.0158843994,21.7813720703,21.713714599600003,21.50132751465,22.771804809549998,24.1474304199,24.59228515625,24.1008453369,22.257400512700002,20.462905883799998,19.82130432125
gfdl_cm2_1,19.8240966797,20.612319946299998,21.2612609863,21.4507141113,21.244613647450002,22.5528717041,23.88163757325,24.64782714845,24.01596069335,22.02374267575,20.4087219238,19.68434143065
ingv_echam4,20.11000061035,21.164627075200002,20.94314575195,21.433670043950002,20.1131439209,20.725067138649997,21.05555725095,21.1510467529,20.8133392334,19.5221710205,18.600250244149997,18.25143432615
inmcm3_0,21.7901763916,22.42002868655,22.20152282715,21.572845459,19.9928894043,19.15515136715,18.857589721700002,20.2287902832,21.59434509275,21.697769165,21.1184387207,21.27365112305
inmcm3_0,21.61308288575,22.444656372049998,22.234451293950002,21.4559631348,20.081710815450002,19.02630615235,18.7048339844,19.932418823200003,21.3943328857,21.70193481445,21.08883666995,21.078109741200002
ipsl_cm4,23.5983734131,24.5155334473,25.07641601565,24.876937866200002,24.7576599121,24.837081909200002,24.9411010742,24.81085205075,24.7099456787,24.282730102549998,23.892471313450002,23.39129638675
ipsl_cm4,23.4925231934,24.4353027344,24.8977355957,24.88638305665,24.6184539795,24.700378418,24.9089202881,24.98721313475,24.6248168945,24.186935424799998,23.72589111325,23.40896606445
miroc3_2_medres,20.61431884765,21.1481628418,21.653717041,21.80520629885,21.05390930175,19.846115112299998,20.2356719971,21.894638061549998,22.3800201416,21.16201782225,20.442886352549998,20.080642700200002
miroc3_2_medres,20.29678344725,20.9096069336,21.52127075195,21.80285644535,20.946792602549998,19.696456909200002,20.20274353025,21.72132873535,22.0366668701,21.08444213865,20.280593872049998,19.86505126955
miub_echo_g,19.39794921875,20.260848999,20.67834472655,21.5294494629,21.528167724600003,22.0236663818,22.49331665035,23.368331909200002,23.198883056649997,21.1828918457,19.77345275875,19.17330932615
miub_echo_g,19.6730041504,20.4992523193,20.755691528299998,21.316329956049998,21.356521606450002,21.59915161135,22.1467590332,23.2448425293,23.190765380850003,21.0352478027,19.890197753949998,19.1590576172
mpi_echam5,20.16963195805,20.8664703369,21.5171813965,21.1342163086,21.4134674072,21.51693725585,21.824203491200002,21.93504333495,21.74490356445,20.8840637207,20.015563964850003,19.63203430175
mpi_echam5,19.6403808594,20.60249328615,21.11112976075,20.949996948250003,21.20057678225,21.11901855465,21.387054443350003,21.8084869385,21.670333862299998,20.58815002445,19.8387298584,19.420333862299998
mri_cgcm2_3_2a,20.3619384766,20.797439575200002,21.3293457031,21.0130004883,20.9079284668,20.25323486325,19.9114227295,20.254867553700002,20.800216674799998,20.963806152350003,20.85498046875,20.280258178700002
mri_cgcm2_3_2a,20.29512023925,20.6078033447,21.1097717285,20.8960266113,20.9090576172,20.1801300049,19.814880371100003,20.17791748045,20.616851806649997,20.80918884275,20.637298584,20.31312561035
ukmo_hadcm3,21.5121154785,22.245803833,22.4050598145,22.29664611815,21.49800109865,20.5252990723,20.20091247555,20.80166625975,21.42015075685,21.63055419925,21.1360168457,21.1149597168
ukmo_hadcm3,21.311019897450002,22.0908203125,22.3580780029,21.973464965799998,21.35522460935,20.3072357178,20.0316467285,20.6657562256,21.30973815915,21.439376831049998,21.0440826416,20.96310424805
ukmo_hadgem1,20.53149414065,21.00708007815,21.655838012700002,21.90710449215,21.124420166,21.020523071299998,21.16583251955,21.27406311035,21.4338684082,21.0642700195,20.382400512700002,20.250473022450002
