GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,16.78369649,17.63411967,19.38527934,21.72108459,24.0707957,25.45030212,25.97478231,26.20360311,26.40717061,24.54515076,21.46975708,18.44408162
bccr_bcm2_0,16.30321757,17.53806559,19.32466634,21.41212463,23.90468852,25.3485616,25.69892375,26.06902059,26.35921733,24.32043457,21.40377808,18.03877258
cccma_cgcm3_1,20.95075989,20.59073893,22.38852437,24.56691488,26.40065511,28.01368205,28.77236938,29.10405986,28.62909953,26.9626414,25.06912231,22.66331991
cccma_cgcm3_1,20.81801351,20.66127523,22.1391449,24.3030599,26.28553772,27.94541931,28.61810303,28.97074382,28.40378825,26.89613851,24.92116292,22.50700887
cnrm_cm3,16.9720815,17.39632161,19.39288839,22.23190816,24.49568176,26.08370972,26.59246318,26.91184998,26.55001322,24.15435791,20.96354675,18.32407633
cnrm_cm3,17.01330058,17.49865214,19.40084839,21.91561381,24.51450094,25.92764791,26.499705,26.82095337,26.46597799,24.23094177,21.30375163,18.36335754
csiro_mk3_5,19.35851034,20.32470703,22.35640971,25.2730306,28.18827311,29.83149719,30.81139119,30.94007874,29.84373474,26.71592712,23.96543884,21.29130554
csiro_mk3_5,28.02818807,29.7478536,30.67130534,30.8368988,29.87571716,26.60946655,24.21512858,21.25326029,19.51077271,19.89623515,22.42644246,25.18132019
gfdl_cm2_0,14.319803873700002,16.199610392249998,19.301076253233333,22.288436889666666,24.47237141926667,26.611531575516665,27.85022989908333,28.031778971349997,26.432215372733335,23.44026184083333,20.697845459,16.40920511881667
gfdl_cm2_0,15.107009887683333,16.47754414876667,19.64668273925,22.09412638346667,24.979665120433335,26.88460795085,27.89940897623333,28.05942789715,26.46982828775,24.183461507183335,20.453730265300003,16.750345865883336
gfdl_cm2_1,15.616694132500003,16.832412719716665,18.93595377605,22.163614908866666,25.180918375650005,27.51342773436667,28.22646077473333,27.67388916015,26.088175455716666,23.672836303716664,20.705474853516666,16.5864868164
gfdl_cm2_1,16.184438069666665,16.2869974772,19.46486918131667,22.385894775383335,25.431009928383332,27.45347595215,28.046885172533333,27.776641845683333,26.409759521499996,24.04845174151667,20.858769734716667,17.070795695
ingv_echam4,21.026301066083334,20.99458821616667,22.384684244783333,24.428197224949997,26.503992716466666,27.9920349121,28.685068766283333,28.607701619466667,28.225596110033333,26.829772949200002,25.036275227866668,23.00431315101667
inmcm3_0,14.555496215816666,16.444814046233333,19.4909922282,23.20759073893333,25.6786855062,27.1404164632,27.50046793618333,27.48246765138333,26.847081502283334,24.55883280435,20.64568074545,17.477844238283332
inmcm3_0,14.428354899083333,15.838261922216665,18.749303181966667,22.544367472333334,25.550598144549998,27.16018168131666,27.52544657388333,27.595586140933335,26.762166341133334,24.136759440083328,20.355061848933335,16.525817871116665
ipsl_cm4,14.7239786784,15.579793294266667,18.17007954915,21.545989990249996,25.000361124683334,27.295679728183334,28.31661987305,28.43576558431667,27.096552530933334,24.53797912598333,20.826471964499998,16.877395629866665
ipsl_cm4,14.95458984375,15.702351888016665,18.3199412028,21.338282267233335,24.901443481433333,27.5594177246,28.268407185883333,28.352915445950003,27.271845499666664,24.538792928066666,20.934290568033333,16.952458699533334
miroc3_2_medres,19.293334960950002,20.2718556722,21.9809366862,24.176091512066666,26.424952189133332,27.34651692706667,27.675196329749998,27.773696899416667,27.536137898766665,26.016337076800003,23.220321655283332,20.3815053304
miroc3_2_medres,19.16692606608333,19.870478312200003,21.841135660816665,24.310323079416666,26.496190388983333,27.457473754883335,27.800013224283333,28.12540181476666,27.88905334471666,26.274780273433333,23.37422688801667,20.6648050944
miub_echo_g,19.109044392883334,18.705652872733335,20.45696004231667,22.361958821633333,24.786407470716668,26.71077982585,27.882069905599995,28.16401163735,27.74549865721666,25.904103596966667,23.529429117849997,20.9228363037
miub_echo_g,18.829386393216666,18.85777791341667,20.343134562166664,22.399576822916668,24.75816853841667,26.602778116866663,27.807469685866668,28.119267781566663,27.642054239900002,25.861292521166664,23.231328328433335,20.63141377768333
mpi_echam5,19.850245157883332,20.063517252616666,21.9299214681,24.241948445616668,26.350738525400004,28.17719523111667,28.937642415350002,28.894114176433334,28.061233520500007,26.22052001953333,24.042719523083335,21.292221069316668
mpi_echam5,19.55611673991667,20.074808756533336,21.716166178383332,24.241251627616666,26.201944986966666,27.943400065099997,28.605295817066665,28.526891072616667,28.001368204750005,26.37445576986667,24.102228800433334,21.405359903983335
mri_cgcm2_3_2a,19.37162780761667,19.503107706700003,21.35655721026667,23.579447428366667,25.35202534993333,27.35062154133333,28.62606811521667,28.44389851888333,27.48621114095,25.051467895516666,22.41900634763333,20.536081949866666
mri_cgcm2_3_2a,19.085627237949996,19.44605000815,21.23204549155,23.42578633625,25.45969136558333,27.55910237631667,28.606216430633335,28.470438639316665,27.405436197900002,25.14592997235,22.68728637695,21.00826009115
ukmo_hadcm3,19.813929239900002,19.955876668283334,21.9123128255,24.051717122400003,25.984374999983334,28.160903930666667,29.279678344733338,29.5935007731,28.768224080400003,26.917658487950003,24.557952880866665,21.9918568929
ukmo_hadcm3,19.452982584616667,19.830693562833332,21.563069661449997,24.08507283526667,25.9162190755,27.798273722316665,29.334742228183334,29.759282430016665,28.712142944333333,26.546071370450004,24.238332112600002,21.379898071283336
ukmo_hadgem1,17.972045898433333,17.8881072998,19.68347676596667,22.537358601866668,26.005849202466667,27.28019205728333,28.262395222983333,28.194727579749998,27.460535685216666,25.484542846683336,23.00318400065,20.470743815116666
