GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,18.00930176,20.17486938,22.61679932,24.9786084,24.80870483,23.94422363,23.814823,24.17374146,24.05453125,22.35729004,20.73391968
cccma_cgcm3_1,20.60936157,23.32441895,26.39702148,28.50454346,28.35715698,26.52394897,25.74846924,25.07803833,24.72147095,23.81622559,21.59578857
cnrm_cm3,18.17306885,20.56658813,24.08646973,26.19405762,26.82423218,25.56755127,24.51535034,24.49747314,24.32250488,22.92424805,20.64130493
csiro_mk3_5,22.34554199,24.78363037,29.26672485,33.40355713,33.69259155,30.00649536,28.08021851,27.95759033,27.33179199,25.94481079,24.99392578
gfdl_cm2_0,20.937003173824,23.348890380859995,26.831533203115995,29.198677978516,27.752552490236003,25.503076171868003,25.019188232419992,24.988730468744,23.803043212899993,22.703203125004,22.082108154292
gfdl_cm2_1,20.790872802723996,23.037409667960002,26.831749267584,28.57353027343601,27.414371337875995,25.92065185547199,25.350028076176002,25.266302490228,24.48402832032,22.793337402343994,22.119937744143996
ingv_echam4,23.862974853516004,26.137586669923994,28.224886474596005,27.564324951167997,26.793002929683993,26.187987060544,26.158200683588003,26.005883789067997,25.520390625004,25.312237548819997,24.369422607416006
inmcm3_0,19.1797265625,21.507897949211998,24.099448242188004,25.794222412115996,25.991210937500004,25.904880371092005,25.441208496092003,25.170195312492,24.323665771479995,23.567990722664003,21.21866577148
ipsl_cm4,19.815125732412,22.266058349616006,25.536983642576004,28.045743408203997,28.496440429691997,28.517198486328002,28.23244384766,27.700920410156,27.485474853520003,25.896052246092005,23.452242431640002
miroc3_2_medres,18.271983642592005,21.083250732424002,24.594063720708004,27.43108032226001,27.217996826167997,26.358698730468,26.18556518554,25.972501220708,25.568681640624,24.162552490228006,21.150316162108002
miub_echo_g,24.450155029288002,26.183253173832004,27.944548339828007,28.507319335939993,27.736070556636,26.477833251956003,25.500854492183993,25.214758300779994,24.89933715819599,24.752091064456,24.867351074211996
mpi_echam5,22.619162597656004,26.299825439452,29.550651855471997,30.526381835939993,28.464013671872,26.87112060548,26.103098144524,25.633005371091993,25.41303710937201,24.922000732412,23.036406250000006
mri_cgcm2_3_2a,21.212871093756004,23.160124511724003,25.505279541016,26.706660156244002,26.360977783211997,25.772789306644004,24.931496582040005,24.657113037104,24.896341552732,24.953291015623996,23.507187499999997
ukmo_hadcm3,20.470123291004,22.749641113271995,27.041915283204,29.212559814444006,28.931395263659997,27.366329345700002,26.868774414068007,26.921950683595988,26.66614746094,25.918270263672003,23.719859619128002
ukmo_hadgem1,20.6512097168,23.400803222656005,27.571231689460006,29.630626220699995,28.13978637695599,26.345460205072,25.923282470699995,25.979135742192003,25.523051757815995,25.174836425772,23.579180908212003
