GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,18.32494873,20.44900513,23.20372803,25.59417358,25.72420166,25.00404419,24.52193604,24.64509888,24.63099365,22.73149902,20.87751343,18.82386963
bccr_bcm2_0,17.90971558,20.28880371,23.44809692,25.4223291,25.98290283,24.85551025,24.30945679,24.55310913,24.5531543,22.5850293,21.15779785,18.68567261
cccma_cgcm3_1,21.94128418,24.16567627,27.56237915,29.24130859,29.60151367,27.73756226,26.44404419,25.83783691,25.72396606,24.61341553,23.24879395,21.08451294
cccma_cgcm3_1,21.5066687,23.95311279,27.28690918,29.02618652,28.84365845,27.32859863,26.30849731,25.74639404,25.44898193,24.84234863,22.59815552,21.04248901
cnrm_cm3,18.67940552,20.94446655,24.61179687,27.12289185,27.92260132,26.7415686,25.40019653,25.23224854,25.20325806,23.80527832,21.15186401,19.15754883
cnrm_cm3,18.75365845,21.49167847,25.00621582,27.04978882,27.79335449,26.72786621,25.25744263,25.2911438,25.11368286,23.5727771,21.15955811,18.56959595
csiro_mk3_5,22.92361084,25.77934082,30.33258667,34.47948975,35.01020264,31.16375,28.96138672,28.74488525,28.41231567,26.73069824,25.61236938,23.68505005
csiro_mk3_5,34.68322144,30.9917395,28.95624634,28.64363647,28.36676147,26.54018066,25.45886108,23.64584961,23.59532471,25.94460571,30.71129761,33.93108154
gfdl_cm2_0,20.856879882804,24.149321289059998,28.102562255864,30.350178222655995,28.885543212888003,26.69219360352,25.839670410148003,25.694652099604,24.826771240231995,22.286124267587997,21.069465332020005,20.682009277339997
gfdl_cm2_0,21.93596801758,24.451047363284,28.304644775379998,29.959825439451997,29.603608398436,26.317584228507993,25.758929443352002,25.705378417964,24.612376708988005,23.453767089848,21.834967041008003,20.859738769531997
gfdl_cm2_1,21.491973876956,24.606097412128,27.74160766602,29.476861572256,28.524180908199995,26.818044433596,26.154913330088004,26.074296875008002,24.723457031251996,23.734442138664004,22.646668701171997,20.229919433587998
gfdl_cm2_1,21.755678710936,23.911369628912002,27.793801269536,29.670274658208,28.207937011724002,26.62729980468,25.968701171868002,25.783177490240003,25.080299072264,23.54159057616799,22.703936767588,20.624056396479997
ingv_echam4,24.193038330084004,26.885102539063997,28.941060791008002,29.094764404291997,28.11229003906,27.232591552732007,26.943696289060007,26.845050048832,26.304732666012,25.890814208983997,25.31843872070401,24.248811035164
inmcm3_0,19.937974853516,22.360673828124003,25.13879516601999,27.051147460936,27.232745361328003,26.796066894535997,26.338942871096002,26.133696289056005,25.298068847660005,24.268101806628007,22.587014160156,20.89438232422
inmcm3_0,20.053511962892,22.114412841796003,24.904858398435998,26.931445312499996,27.356462402347997,26.912871093744,26.204594726551996,25.776936035160002,25.197890625003996,24.035358886707996,22.210444335943997,20.568782958979995
ipsl_cm4,19.587060546876,22.095618896484,26.549791259763996,29.511317138676,30.201682128916005,29.79516479491999,29.23627197266001,28.595983886716,28.247519531256,26.689138183584,24.084357910155994,20.837003173824
ipsl_cm4,19.919625244147998,22.65096069336,26.564072265624006,29.290162353520003,29.961789550780004,29.673167724608003,29.162396240228006,28.633190917956,28.291334228508003,26.71826049804,24.279289550783997,21.304130859372002
miroc3_2_medres,19.434379882804002,22.674981689444003,25.852270507808,28.667459716796003,28.651922607407993,27.451745605472002,27.147517089848005,26.858430175771996,26.688518066404,25.046583251964,21.967261962887996,19.426044921880003
miroc3_2_medres,19.43757202148,22.164146728520006,25.739135742188004,28.362293701167992,28.140356445304,27.159191894531997,26.86746459960799,26.907957763676006,26.564648437488003,24.962960205071994,22.220689697268,19.344733886724
miub_echo_g,25.292969970688006,26.78713134766,29.179406738284005,29.131430664075996,28.713088378896003,27.178702392580007,26.234769287104005,25.975744628904,25.62218383788799,25.644639892575995,25.359865722656,24.891140136715993
miub_echo_g,25.406163330083995,27.028023681644,28.852554931639993,28.725665283200005,28.467351074232003,27.074517822259995,26.009505615239995,25.797042236323996,25.595842285148002,25.7474230957,25.335753173828003,25.056961669923993
mpi_echam5,23.179255371096005,26.812612304691996,30.49281738282,31.73188232422,29.531297607423998,27.828848876951994,26.82310791016001,26.558537597652,26.120769042967996,25.121923828124004,23.300572509768003,21.365800781235997
mpi_echam5,22.590690917963997,26.498742675780004,30.163496093751995,31.396102294924,28.999140624992002,27.81090087891201,26.746453857416,26.30832275391201,25.831864013663996,24.952290039055995,23.331740722655994,21.441937255864
mri_cgcm2_3_2a,21.151278076168,23.17128540039599,25.997692871100003,27.102884521488004,26.849592285152,26.297313232427996,25.42728149414,25.169960937504,25.425993652348,25.084486083984004,22.982410888667992,21.352138671876002
mri_cgcm2_3_2a,21.389234619136,23.401494140628007,26.000495605475997,26.933906250008004,26.891134033208008,26.188642578120003,25.447816162092,25.086148681644005,25.383544921875995,25.337822265615998,23.543759765616002,21.797301025396
ukmo_hadcm3,20.696306152352005,23.70828735351199,27.890906982427996,30.312149658208003,29.391378173831995,28.066215820316003,27.619415283204003,27.579899902344,27.494729003904002,26.910711669920005,24.732694091792006,21.795706787104006
ukmo_hadcm3,20.909093017567997,23.609555664055996,27.925976562503994,30.307531738275998,29.79226318359201,28.373262939448,27.56209228515999,27.63216674804,27.39138305664001,26.543305664076,24.541453857424003,21.780920410155996
ukmo_hadgem1,21.633695068351997,24.131479492184006,28.075960693363996,30.474130859372,29.036949462884,26.839417724599997,26.700167236328003,26.789481201172,26.302493896484002,25.923723144535998,24.174271240240003,22.257404785164
