GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.02782968,21.06532874,22.29093346,22.26735981,20.32108248,20.39044659,19.73257916,19.92594323,20.35189115,21.52353375,19.99508197
cccma_cgcm3_1,20.94339694,22.23506517,22.3167396,21.549084,20.95788574,20.02073083,19.78765869,19.98102511,20.6250446,20.60663311,20.50863413
cnrm_cm3,19.29923894,20.3140517,21.24811261,20.72891001,19.86147837,19.02232478,19.20763456,20.11296199,20.73335383,20.86291034,20.03272658
csiro_mk3_5,25.76533391,27.05051598,26.77851985,25.98057204,25.00774677,25.21745887,24.86246197,24.70417668,24.97500376,24.40063007,23.85366117
gfdl_cm2_0,19.53331111026923,20.918093167815382,21.369394155653847,20.61427189753846,19.671335073615385,19.568673940800004,20.20509455753846,20.78287212664615,20.919201190653844,20.173006497907693,19.00258225660769
gfdl_cm2_1,21.296759972199997,23.211622971753847,23.64520733173846,23.060603215153847,21.221855750453845,20.750349778392312,21.81487567607692,22.478452242323076,22.552619347207692,21.675471379192306,19.985384427584616
ingv_echam4,22.819655198315388,24.464716984684614,24.572277362523078,24.004828819861537,21.84553410456154,21.773998553946154,20.954775296723078,20.65463022083846,21.171107365538465,21.062429574815383,20.47105290338462
inmcm3_0,19.919243445761538,20.863558255715386,21.252197265615386,20.63989727313077,19.531393197884615,18.725916935838463,18.73061899039231,19.60763080303077,20.464416503899997,20.85646409255385,20.337137075553848
ipsl_cm4,23.827122614923077,24.99592707708462,24.99778864933077,24.49713134764615,23.918461726253852,23.91630906323846,24.005605844361543,24.1456650954,24.1080040565,23.58400550254616,23.100933368392305
miroc3_2_medres,20.303755540107694,21.395418607276927,22.3478487455,22.018815260653845,21.116534893330765,20.05803034855385,19.753042367784612,20.674154428330766,21.11556302584615,20.926396296576925,20.450174184946153
miub_echo_g,20.46275212213846,21.478766808146155,22.350013146038464,22.712000920230768,21.666607196515386,21.537529578561536,22.008195143476925,21.941091684200003,22.256976787846156,21.71842369665384,20.606776310846154
mpi_echam5,23.27412062423846,23.909808819107692,24.400871863738466,24.07224684494615,23.441206711992308,23.1030414288,23.13027954101538,23.603719858015385,23.87634512093846,23.14822857195385,22.513146033653847
mri_cgcm2_3_2a,21.11371788611539,21.649686373184615,22.264484112084613,21.81646963266923,21.533459003153844,20.596684382523073,19.747528076176927,19.69496037408462,20.5497671274,21.099538949823078,21.191918006315383
ukmo_hadcm3,21.514143723715385,22.727074256315383,23.116408127999996,22.706728421723078,21.96240703876923,21.543717604415384,21.537942739653847,21.89107806866923,22.20053570087692,22.220146766084614,21.596818190353847
ukmo_hadgem1,21.293339655961535,22.47915179912308,24.047393798838463,23.67695969802308,22.460012582630775,21.729790320769233,21.523810753461536,21.464564396792312,21.829418475815388,21.51771428034616,21.207413893492305
