GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.53783744,20.99205933,21.71529018,21.44042271,19.51666085,18.77689383,18.1363787,19.0096889,20.67239205,22.42147391,21.58317697
cccma_cgcm3_1,21.15870361,21.50296108,21.70979701,21.88264073,20.87664097,19.03561314,18.47893502,19.8335641,22.3797808,23.62398158,22.94094413
cnrm_cm3,20.63671526,20.7342041,21.09042358,20.82826625,19.4254534,17.59986921,17.44844448,19.20534406,21.27746669,22.28456072,21.61619088
csiro_mk3_5,25.7126927,26.30140381,26.56382969,26.33639614,25.37053484,24.53292759,23.99880545,24.52445592,25.70163225,26.47630702,26.13229457
gfdl_cm2_0,20.11761125837429,20.753887067525717,21.094499860491425,20.509205845420006,19.797851562502856,19.69106096540286,19.926763916017137,20.597245570591426,21.536732700891424,22.152732631137138,21.930767822268574
gfdl_cm2_1,20.84469081333715,21.685422188894282,22.211705671034284,21.63350830079143,20.220141601557145,18.953251429965714,19.510808454231434,20.624510846811425,21.653694370817142,22.460967145648567,22.198997279571426
ingv_echam4,21.833054024834286,22.374366978237145,23.031046840122855,23.512334333151426,22.94450945173143,22.60979527064857,22.71961321148857,23.468770926334294,24.430538504462856,24.471799142011424,23.11344604492286
inmcm3_0,22.858703613280003,23.25001918248572,22.592792619977153,20.77956804548,18.829805210662855,16.512536621097144,16.02619977679143,17.57265537806286,19.658521379737145,21.946141706185717,22.631026785711434
ipsl_cm4,23.789747837620006,24.244433593757144,24.345488630017147,24.045154680520003,23.408415004182856,22.30338745117143,21.875450788228573,22.47640642438572,23.85063650948,24.537207903177144,24.357991245811434
miroc3_2_medres,21.44570399694,21.858905029288568,21.953216552731433,21.050010463165712,19.586494663785714,17.93775896344857,17.442231968471432,18.788909040180005,20.87949916294286,21.941663469582863,22.28564365931143
miub_echo_g,20.921327427457136,21.11116768972572,21.59335937499715,21.870689174111433,21.29117344447714,20.777441406240005,20.96667131695714,21.934646170474284,23.33051932198285,23.5407043457,22.495325578957146
mpi_echam5,22.99781930106,23.03209664480572,23.341632952011423,23.24865025111428,22.39217093331143,21.397918701179997,21.42941981724857,22.546867152620006,23.947558593751427,24.66369890485429,24.28970162527714
mri_cgcm2_3_2a,22.38098493304286,22.456286621085717,22.885874720982866,22.50494733538,21.978295898442855,20.316734967911426,19.67178519113143,20.32402779715429,21.810641915457147,22.36836111886857,22.56592058454
ukmo_hadcm3,22.69751848493715,23.099822126119996,23.02924891880286,22.485897391179996,21.52271466936,20.89196079798857,21.189297049399997,22.05646275111714,22.605337088448568,23.010035051611435,23.301204136448572
ukmo_hadgem1,22.136139787954278,22.503810337611426,22.61235351562571,22.11489170619143,21.016652134491427,20.043436104911432,19.82250540597143,20.67268851143714,21.864297049385712,22.565156773157142,22.05693620954857
