GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.883061,21.7718035,22.10516183,21.81257411,20.18888724,19.13254918,18.63793422,19.60852225,21.25086583,23.08132499,22.41722761,21.40185285
bccr_bcm2_0,21.55925729,21.79202619,21.92478899,21.69522531,20.30366821,19.18470982,18.66526838,19.59169922,21.25645578,23.07171456,22.36249477,21.53389021
cccma_cgcm3_1,22.05388009,21.90993565,22.48116106,22.86679339,21.76768799,20.05410069,19.46247995,20.95370396,23.29697702,24.53557914,23.58298253,22.46639404
cccma_cgcm3_1,21.96048758,22.14910453,22.36789464,22.54099731,21.66853202,19.76094884,19.10891549,20.72164394,23.06977539,24.33316563,23.76881888,22.32053135
cnrm_cm3,21.51603568,21.78274013,22.26624581,21.83423113,20.22197789,18.4255467,18.41071341,20.37184187,22.6195391,23.25554374,22.73974697,21.81516549
cnrm_cm3,21.56324463,21.77721819,21.93717826,21.75928519,20.24327131,18.538671,18.46028268,20.40780378,22.58420236,23.39680699,22.43603167,21.68214983
csiro_mk3_5,26.89174369,27.35651332,27.493287,27.4790475,26.59044364,25.59377703,25.05388707,25.67432774,26.81439645,27.69848458,27.43632289,26.4840332
csiro_mk3_5,26.65353917,25.57365374,25.01252529,25.57819388,26.73624355,27.51202829,27.16186087,26.30489851,26.65238647,27.19988142,27.44810791,27.13580758
gfdl_cm2_0,21.109419468468577,21.767313929962857,22.08507777622857,21.802409144802862,20.958480399002852,20.604966517860003,20.764633614677145,21.590822928280005,22.461601911274286,23.180208914619996,22.827629743302865,21.150994873057147
gfdl_cm2_0,20.96967773437143,21.66468593052286,22.243370710100006,21.636378696994285,20.994003731862854,20.952810232974286,20.95281372070286,21.695756312774286,22.56055908203429,23.23973824637429,22.862716238834278,21.15494733537715
gfdl_cm2_1,21.817934744705713,22.479192243305718,23.043902587897144,22.696568080360002,21.371364048548568,20.361876569471423,20.778510393411434,21.65101667131429,22.728044782368574,23.593375069762853,23.148776681080005,21.713463483531438
gfdl_cm2_1,21.461324637274288,22.339796665725714,22.96540352957714,22.508087158208568,21.090059116902857,20.036213902065715,20.41136648995714,21.527056884762857,22.52063424247143,23.307293701174284,22.948580496654287,21.50555507114571
ingv_echam4,23.06918683733143,23.876600864957148,24.04393572125429,24.528041294642865,23.839413016185713,23.67322474888286,23.81595458983429,24.661340332028573,25.592544119699998,25.471951729914288,23.99869471959142,22.688017926900002
inmcm3_0,23.79599522181428,24.038162667411424,23.530262102399995,21.928210449220007,19.785344587060003,18.083604213168574,17.209973144522856,18.75017613000857,21.252119663779997,23.115304129462857,23.56567644392,23.52811366490286
inmcm3_0,23.80378766740285,24.060576520639998,23.494182477680003,21.871501813611427,19.94977329798571,18.021966552734284,17.062932477682864,18.456152343748577,20.99196690150857,22.98933803014286,23.41054164341428,23.36100115094857
ipsl_cm4,24.736354282919997,25.234095982142858,25.40408150809143,24.984559849337135,24.377270507808575,23.42542986188,22.90814906529143,23.6407950265,24.54224591936,25.484136962900003,25.374574497765714,24.851970563622853
ipsl_cm4,24.72969185965429,25.12863507952572,25.322129603797148,25.072607421882868,24.368280901222857,23.359881591802854,22.776191929405716,23.452512032640005,24.74339512416286,25.451637486039996,25.252962820871428,24.755784388948566
miroc3_2_medres,22.59137398855714,22.894465855191427,22.999720982139994,22.03628714425142,20.539009312214283,18.81751185825429,18.295067487442857,19.81416887555142,21.912081473214283,22.805752127511425,23.166356549942858,22.79581734793429
miroc3_2_medres,22.548753138951437,22.80778895786001,22.94857962472,21.885233851848575,20.381831577848573,18.667040143702856,18.131190708705716,19.655866350442853,21.75757097515428,22.776123918799996,23.165752301888567,22.798011997768565
miub_echo_g,21.651123918802853,22.33377947125429,22.504355294360003,22.50065569198,21.879355294359996,21.547263881131432,21.901364571705717,23.022092982700002,24.512694440571426,24.56514892578,23.06765311105714,21.914540318074295
miub_echo_g,21.71075439453429,22.382721819194284,22.54418596538857,22.197573416574283,21.632654680531434,21.20873674664572,21.590302385605714,22.73920200893142,24.342939976285717,24.543758719311427,23.02832728794857,21.71874999999714
mpi_echam5,23.417373221245718,23.784090750551428,24.250173514222855,23.909097726002862,23.266719273157147,22.492776925219996,22.686324637271426,23.651014927457144,24.769742257237144,25.583728899268568,24.797860281799995,23.654280308305722
mpi_echam5,23.094737025674284,23.43322753906,23.77138671874857,23.575571114677153,22.89974190848286,22.086412702297142,22.255303083151432,23.093481445305716,24.553284563342856,25.232022530694287,24.818787493028573,23.592415945868574
mri_cgcm2_3_2a,22.877362932471424,23.04252057756857,23.478359549388564,23.123325892857142,22.450510079520004,20.76041346957715,20.268358503065713,20.969062151217145,22.601682826448567,23.24537266322857,23.26080583844858,22.91874040875429
mri_cgcm2_3_2a,22.947725132537148,22.879402378625713,23.317866734102854,23.006213378902856,22.45382428850857,20.82421787806857,20.201324462894288,20.914022391188567,22.44748447963143,23.179507010320002,23.039526367185715,23.06960623604285
