GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,22.46716309,22.21176147,22.31930542,22.51184082,22.53701782,23.63787842,23.98068237,23.3755188,22.6272583,22.36193848,22.39178467
cccma_cgcm3_1,26.52807617,26.66671753,26.87054443,27.0425415,27.32162476,27.23318481,26.95870972,26.52255249,25.86602783,25.33248901,25.61727905
cnrm_cm3,24.48068237,24.06524658,24.04696655,24.25262451,24.48754883,24.72970581,24.73287964,24.44400024,24.2671814,24.67703247,24.87094116
csiro_mk3_5,26.64215088,26.91015625,27.01293945,27.10995483,27.31747437,26.88314819,26.34411621,25.88189697,25.69802856,25.73873901,26.02932739
gfdl_cm2_0,25.2344665527,25.2702941895,25.3529663086,25.4017028809,25.7316589355,25.7077636719,25.0516967773,24.4753723145,24.2104187012,24.1578979492,24.439666748
gfdl_cm2_1,25.5833435059,25.5199279785,25.5990905762,25.8411560059,25.9693908691,25.8310241699,25.387512207,24.9559020996,24.7373962402,24.8728942871,25.1586303711
ingv_echam4,25.9718017578,25.5009460449,25.5187683105,25.6981201172,26.0168762207,26.19921875,26.229095459,25.8994750977,25.602722168,25.7873535156,25.9460449219
inmcm3_0,22.4225769043,22.6459655762,22.9296569824,23.3467102051,24.0294494629,24.6823425293,24.099822998,22.705871582,21.4458618164,21.2070922852,21.6477661133
ipsl_cm4,26.4008789062,26.4786071777,26.654296875,26.4574279785,26.5849914551,26.6053161621,26.6083068848,26.5636901855,26.3702392578,26.2987060547,26.3671569824
miroc3_2_medres,24.5500488281,24.8702087402,25.3202209473,25.845123291,26.2176208496,26.2102966309,25.4896850586,23.914855957,23.055480957,23.2469482422,23.7192077637
miub_echo_g,26.4235534668,26.3206481934,26.5369262695,26.906829834,27.1641235352,27.1354370117,26.4361877441,25.6687927246,25.5454406738,25.7643737793,26.217010498
mpi_echam5,24.8782958984,25.1424560547,25.4871520996,26.0128479004,26.2784729004,26.660736084,25.9342651367,25.0875549316,24.6393432617,24.4081726074,24.7244873047
mri_cgcm2_3_2a,25.6850280762,25.5243835449,25.2102966309,24.9300231934,25.1741943359,24.8296813965,24.6605529785,24.4263305664,24.6114196777,25.3784179688,25.575958252
ukmo_hadcm3,25.0630493164,25.0662841797,25.5973815918,26.0766601562,26.2999572754,25.8220214844,25.3598022461,24.9971313477,24.7171325684,24.6920166016,24.9492797852
ukmo_hadgem1,23.3314819336,23.2362365723,22.8405456543,22.9736938477,23.7050170898,24.3377075195,24.5957641602,24.2324829102,23.7060241699,23.7176208496,23.6401062012
