GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,-9.621845312,-8.451683216,-3.776517949,2.673571047,9.254254044,14.92307569,18.22624865,17.89172173,13.54530909,6.4140625,-0.960047543
cccma_cgcm3_1,-6.553893777,-5.332240573,-2.262895617,4.144794417,10.43134656,15.54186235,18.57953779,18.14592166,13.77229693,7.328321195,1.313856624
cnrm_cm3,-5.330243422,-4.215476514,-0.709827299,4.470434098,10.08891696,15.22743937,18.26270094,18.04942866,14.16615923,7.522808731,1.039261207
csiro_mk3_5,-0.139015673,0.73596492,3.229521754,7.71419078,14.06583068,19.51112963,22.76577698,22.15372427,17.0463237,10.20206655,3.977919961
gfdl_cm2_0,-7.6333226610595855,-6.176652675259838,-3.0938516745246973,2.3068265463055933,8.531947109764134,13.655663697201172,16.383520797006717,15.581162678628464,10.82323609920257,4.625519483760673,-1.7966055548993696
gfdl_cm2_1,-6.557654934929099,-5.175885017375426,-1.977376048403898,3.210390086185563,9.847922536798679,15.796591285458094,18.250409590036796,17.166346067205442,12.308776855468373,5.997367040771729,-0.3406461111634678
ingv_echam4,-2.690718881507859,-1.6851125132114,1.4117349829163977,6.440022076156373,12.246585912537666,17.563830368533594,20.77171611072342,20.361977061132432,16.52609998745773,10.079823482065807,3.3730390743730965
inmcm3_0,-4.114518011003955,-2.7722664545315667,-0.04657385771316553,5.494556836058215,11.04537735556168,15.82081935054711,17.964166959919268,17.142590986521032,13.21833485439153,7.53343798097626,1.5514886337605571
ipsl_cm4,-2.232596342701506,-1.498004180831118,1.6547280023821807,5.661785401607326,10.896509641425698,15.693228020036383,18.641606357032153,17.68116855383606,13.310732948510834,7.5219533259134534,2.1196503674899816
miroc3_2_medres,-3.777629176875919,-2.886909123370383,-0.03094284552439624,5.794512056650403,12.110616555534644,17.150267869754142,19.42172964195926,18.411704275077533,14.240836963986634,8.257362727213629,2.5276634615835136
miub_echo_g,-4.668362320213464,-4.219703236721953,-0.8687012784206462,4.254058761787042,8.947954591671206,13.48694410823527,16.37255943089069,16.19947742642709,13.021979048959047,7.581291826584982,1.6151181266203944
mpi_echam5,-4.393339732637592,-3.235453731699414,0.5172552931636122,5.912568356330151,11.27223856252832,15.61687349618933,17.764789305424056,16.89901520308167,13.2590143294118,7.125628235924938,0.9801276152272479
mri_cgcm2_3_2a,-5.973217895204234,-4.37538637841395,-0.7080880638370131,5.05456843578384,11.015379946130807,15.573387545539855,18.126915758089687,16.59711728369561,12.704374013693963,6.82066364240718,0.4641243799059411
ukmo_hadcm3,-6.760152269777205,-5.389169897521692,-0.9459883007327025,5.106827124694181,10.901653185153164,15.655107303154542,18.110980407257514,17.455145248448584,13.477729093402829,6.884845533870224,0.2145729730843671
ukmo_hadgem1,-8.820540506644182,-7.89700808251787,-3.760513457870631,2.91382425741208,9.795256731219249,16.0273398687101,19.396396323032537,18.60503267587582,14.20230833134358,6.747198623313895,-0.8353054969394268
