GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,-8.894878359,-7.698756648,-3.246185531,3.582127445,9.949729938,15.5840881,19.13184012,18.51391038,13.97667034,7.456817931,-0.326399691,-6.192306899
bccr_bcm2_0,-8.831965839,-6.985148936,-3.053252946,3.143319223,9.538005496,15.43812976,19.03349582,18.34966478,14.09817794,7.477803371,-0.055426695,-6.230178529
cccma_cgcm3_1,-5.165616271,-4.313782385,-0.396183842,5.062349581,11.56743936,16.52029358,19.72327566,19.44239925,14.70347835,8.589656078,2.656588623,-2.364814283
cccma_cgcm3_1,-5.436936909,-3.939752707,-0.350182284,5.331802787,11.43351209,16.31114939,19.66750612,19.05108856,14.56498037,8.917050863,2.363845559,-2.539064669
cnrm_cm3,-4.774973006,-3.081604042,-0.179178975,5.166310603,10.69114689,16.07470087,19.21051261,19.03030875,15.21273872,8.696827344,2.40162769,-2.333853819
cnrm_cm3,-4.307446297,-3.235104454,0.033684214,5.369110107,10.89494746,15.97272878,19.28109985,19.08159799,15.23221944,8.823188382,2.266606129,-2.269789013
csiro_mk3_5,1.488284865,2.110265223,4.546167426,9.109877056,15.12385289,20.57945286,24.10106121,23.46107601,18.50573632,11.78200099,5.443555875,2.069689211
csiro_mk3_5,15.02951392,20.3985958,23.97815261,23.17897555,18.38598085,11.70677668,5.238509104,1.501107499,0.995219661,1.91815958,4.249565144,8.956242588
gfdl_cm2_0,-6.401481495237166,-5.262066581898071,-2.2923882310823824,3.3678757056340936,9.608934892384843,15.02283536763353,17.98181159954215,17.007550931631418,11.863858876976682,5.582845635544346,-0.4695051768768804,-4.6935832339934205
gfdl_cm2_0,-6.774519732468386,-5.269396165957239,-2.1763656121535324,3.334688562407254,9.533612030103487,14.759645837799761,17.858001632881454,16.960542826282676,12.028303493583536,5.590341163691778,-0.8011145841455314,-5.192778209200496
gfdl_cm2_1,-5.154955742661549,-3.906052130416409,-0.6134667527344501,4.514660918504032,11.212938189804138,17.020128207312027,19.675774552875055,18.73943871096121,13.534353356110795,7.407914768133639,1.1170618528145997,-3.642664540737206
gfdl_cm2_1,-4.826462781340791,-4.009235676983024,-0.6309802276532938,4.454240527830887,11.204886952541306,16.835503100160114,19.511844549391892,18.681501050837078,13.556129969264395,7.1460276767787905,1.0475199787393483,-3.0754580604757353
ingv_echam4,-1.4218406391871057,0.12348664015068803,3.0121985837388694,7.382859532077348,12.958644343730105,18.795507721174566,21.8149469618194,21.45518961689952,17.620879213707884,11.42660400695169,5.0154464607504465,0.1768077365172913
inmcm3_0,-2.5848167971198466,-1.7816699781912824,1.70632394234202,6.565873524197461,12.226942637909525,16.981079025458214,19.348219721691414,18.66628541256598,14.897294650945526,9.013005282813138,3.098665460981068,-0.997540671332434
inmcm3_0,-2.521871666659616,-1.8760101242254,1.7910622385077406,6.772378973829941,12.148653025638955,16.730306953561517,19.30644191827569,18.503856630395035,14.694862042282098,8.749438583108246,3.072803221438584,-1.0207537035088563
ipsl_cm4,-0.45141190602660897,-0.218212517716491,2.136250103501063,7.0558722821851925,12.206916790055761,17.24937374276547,19.93047121575842,19.24245629821852,14.80969626409934,8.803219231585622,3.588011249342614,0.6869945193165127
ipsl_cm4,-0.9441618883712737,-0.19985832537912981,2.301569912498439,6.945150779666076,12.435810117650885,17.11061800150424,19.858143185735777,19.020389927890772,14.74402654557308,8.696580311305441,3.6086405233248167,0.56849080606649
miroc3_2_medres,-1.8639268756218326,-1.9434285151999915,1.5332012985106305,7.191552749596891,13.394767399737551,18.520046091436143,20.933520233837008,20.150213455616775,15.950666850937639,9.682893443879417,3.8177778667347955,-0.29396239777692307
miroc3_2_medres,-2.2041116081873824,-1.539436815980751,1.6935724653214077,7.457828436111003,13.471499854489212,18.58362394794233,20.912833197156928,20.087861248976782,16.123434318864668,9.818674824778762,3.858068756331839,-0.2493163605887644
miub_echo_g,-3.819407665226825,-2.8953537786390062,0.13027368103085674,5.070280346192672,9.949776513915491,14.541842567651146,17.592021304771375,17.533569412037956,14.261516618609148,8.882376349774612,3.087133583581995,-1.4385692567907518
miub_echo_g,-3.377021275851832,-2.492645834449726,0.5737972497340557,5.43030839192129,10.29729821259729,14.786346283338872,17.705293574536054,17.883396291375483,14.68670448816866,9.341600451384876,3.4032703504297035,-1.0697234194179825
mpi_echam5,-3.4609894407660855,-1.434168218677175,1.6934707907941795,6.437048096311922,12.252539960524919,16.55850463258284,18.650387961369773,17.80318825738392,14.120438268950304,8.510875292847466,2.194435328913451,-2.147595146350284
mpi_echam5,-3.862610662369217,-2.325252922988981,1.6331804993752261,6.932786289890733,12.1818633804891,16.468713850747093,18.70798703619313,17.710004697120652,13.999148171441194,8.269069833351253,1.8314327325598367,-2.1564427325864397
mri_cgcm2_3_2a,-4.948072400176715,-4.045105284885051,0.13591292611832634,5.4699971111043215,11.552216185001429,16.24627411573539,18.585012003073647,17.32250466668002,13.344522300206524,7.762456651338602,1.4668854596905265,-3.369555466193892
mri_cgcm2_3_2a,-4.888702316473983,-3.9157339272061553,-0.1727288453071152,5.751516594256249,11.62636712661689,16.206627443840897,18.538352985335823,17.22607992652556,13.191134788150602,7.680709268088796,1.5392028732471954,-3.1489978894932276
ukmo_hadcm3,-6.005620751891259,-4.919154331274274,-0.7562491400282652,5.872276553488659,12.090566354496094,16.74171733142784,19.515643721504837,18.907663017139186,14.659083796854889,7.951950796226685,1.3001342925637425,-3.8007458998375543
ukmo_hadcm3,-5.6151091083328994,-4.451143450273477,-0.2558636748592211,5.8813486075456485,11.83354381076156,16.78068942024933,19.415789292635402,19.08897418928368,14.43382974752945,8.007769425313711,1.2248499006992297,-4.066528929142166
ukmo_hadgem1,-6.837211171290926,-6.247712361249436,-1.4292453375846697,4.401126661801164,11.08856231613239,17.44050959636887,20.647292824458674,20.168659847572155,15.887491430726055,8.678364513520753,1.5320201693034499,-3.9363100808162748
