GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,16.59915542601625,18.277881622314585,20.100153605141667,22.907564798987497,24.076924641925004,23.99691009520833,24.026871999108327,24.35947163899583,23.970324198404168,21.943824768058334,19.940008799234167,17.010415395087914
cccma_cgcm3_1,17.493410746260835,20.035158793130833,23.739743550608335,26.566572825112505,26.964102427158338,26.592960357662502,26.106749216712497,25.39486185709583,24.12753295899167,22.395868937166668,19.854597727454163,17.641340891514584
cnrm_cm3,16.09368642170917,17.93406295775708,21.142164866137502,24.087722778320828,25.57487996419167,25.3674799601125,24.7209752400625,24.68368148802917,23.907942454016663,22.047849019375004,19.293895721436666,16.542102813721666
csiro_mk3_5,19.46827952066875,21.221934000641664,24.600749969483335,28.634638468424995,30.750951131175,29.567537943516673,28.827817281091665,28.495268503820828,27.133949279779163,24.586165110279172,22.675216674799998,19.714824676514166
gfdl_cm2_0,17.502029418957086,19.312630971275418,22.872192382812504,26.22472890217917,26.43762461345416,25.47382100423334,25.242165883366667,24.947699228925,23.42579396566667,21.712268829341667,19.847496032710417,17.150020599363334
gfdl_cm2_1,17.438451131181665,19.289843241369585,22.83759562173333,25.63544336955,26.254074096674998,25.651041666662493,25.422261555987507,25.2094319661375,24.138136545824995,22.035736083983334,19.622627258308334,17.228366851811668
ingv_echam4,20.259668986006254,22.095742543545835,24.816688537595827,25.382877349849995,25.745848337808336,26.20405960082917,26.506975809724995,26.34778849283333,25.52748870849167,24.54908243815,22.692108154295834,21.02134068806792
inmcm3_0,17.6551742553725,20.076546986891664,22.764377593991668,25.15013885498334,25.833901723233335,26.52370071410833,26.10016123454166,25.788892110191668,24.65716679890833,23.331645965575007,20.292970021567083,17.460311889650004
ipsl_cm4,16.163023630770418,18.168193817140416,21.6682523091625,25.261301676437494,26.891288757312505,27.64743932087082,27.855342864987506,27.299545288087504,26.348981221520834,24.094553629554166,21.03906758626667,17.404862721768335
miroc3_2_medres,16.90113194783667,18.9624455769875,21.937525431308334,25.185052235916668,26.240200042716662,26.170893351241673,25.84775924682083,25.737661997470827,25.0935732523625,23.33518218994583,20.248336791996667,17.477615356455836
miub_echo_g,20.743080139161254,21.464182535804166,23.5218518575,25.425181070970826,25.941612243645835,25.542427062987496,25.740128835041673,25.477272033687502,24.93165969848334,24.014133453366668,22.982924143470825,21.53505961100417
mpi_echam5,19.709159851074997,22.56725819905417,26.09601593015833,28.541075388595832,28.028942108154165,27.308629353841667,26.489789326983328,25.958147684737494,25.036702473962496,24.030569712325004,22.07161712645833,19.506455739345835
mri_cgcm2_3_2a,18.93344243366375,20.0466117858825,22.821051279699997,25.03680038452084,25.852521260575003,26.133561452237505,25.92952601114584,25.69756952920834,25.165968577075002,23.825584411620827,22.102006276454166,19.98704020182625
ukmo_hadcm3,17.892368316645,19.78528849284,23.740890502933336,26.48810577391666,27.18112309773751,27.049753824866666,27.47995376585833,27.21912256877917,25.80947494506667,24.20657475789167,21.619497934975,18.706473032641668
ukmo_hadgem1,17.109750111902915,18.876930236812083,22.74862162272917,26.179347991945832,26.962894439700005,26.577812194825,26.66780980427916,26.590719858808338,25.235755920412497,23.769395192458337,21.23045984904167,18.56928507487292
