GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.02068787,20.11382955,20.20557353,19.57479858,17.33096822,15.95683085,15.02838236,17.01629842,21.07103678,23.83412577,21.91502787,20.31619771
cccma_cgcm3_1,21.51791687,21.47932027,21.67240397,20.67673238,18.49568075,15.49544881,15.05118713,17.53957113,22.96128337,25.70247396,24.13929036,21.9813151
cnrm_cm3,20.41552022,20.64353536,20.30637512,18.65860189,15.62147217,12.61810099,12.58620402,15.82390442,20.79706828,23.28838196,21.75931193,20.67069499
csiro_mk3_5,25.96612549,25.89584961,25.59463298,25.64982503,24.44681091,23.22626648,22.29831746,23.86400553,27.79727275,30.40479635,27.85066732,26.46417643
gfdl_cm2_0,19.745065307613334,20.11968180338,19.663649495449995,20.018363444006663,20.042705281586667,19.056643676753335,19.256420898440002,21.011111450190004,23.704052734370006,24.542054239909998,22.737557983403327,19.755251057940008
gfdl_cm2_1,20.00970153808334,20.24608154297,20.02506713867,19.712681070966667,18.558575439450003,17.52201741536667,18.390252685546667,20.89995422363,23.789234415696676,25.30482482909999,23.35742696126,20.31632588704667
ingv_echam4,20.969969685873334,21.19884236654333,21.570762125653335,21.818184407550003,20.47049865722,19.148405965173332,20.104173787439997,22.843847656253327,26.918304443356664,26.709148152670004,22.94824422200334,21.262753295893337
inmcm3_0,23.54521382649667,23.33887329100666,22.109471638996663,18.668789672860004,15.105866495759996,12.306300862623333,11.791827392579998,14.33746439616,18.644363403320003,22.72577412922333,24.02546386718334,23.638750203453334
ipsl_cm4,23.945563761396663,24.168647257496673,24.19647318521667,23.708775838213334,21.75924377441334,19.5509938558,19.1998260498,21.07691853841667,24.411742146810003,26.225168863933334,25.995749918620003,24.440338134763333
miroc3_2_medres,21.621787516276672,21.47764282226667,21.012126668286662,19.55343119303333,17.01262207031667,14.427339680986668,13.556914265953333,15.828955078123332,20.118940226240003,22.464121500653338,23.12642618815333,22.322675577806663
miub_echo_g,20.138692220046668,20.165924072263333,20.23320821127,20.290590413416666,19.044780476886665,18.311263020833337,19.26511637369,22.112669881176664,25.361757405606674,25.18215840657,22.026079305020005,20.702523803703333
mpi_echam5,22.422693888343336,22.066540527346667,22.35017496744667,21.914579264320004,20.20408020019333,18.434534708656667,18.826008097329996,21.89004618327,25.042680867520005,26.425837198889994,25.211038207999998,23.392169189443333
mri_cgcm2_3_2a,21.68451639811,21.638684082026664,22.313073730470002,21.584971110026665,19.277501424153336,16.642684936516662,16.02850748698,18.493409220373337,22.10321350098,22.99203796387,22.92261454265,22.45876363118667
ukmo_hadcm3,21.94041442872,22.184452311210002,21.983838907886668,21.286203002930005,20.264900716143327,19.90481567382667,20.65899047851333,22.96086018880333,25.413904825856658,26.366136678053326,24.736332194003342,22.634727986646666
ukmo_hadgem1,21.429370117183332,21.34309082030667,20.91270650228,20.033416748043333,18.642085774750004,17.313145955413336,17.308234659826663,19.174936930339996,22.435889689129997,23.806794230149997,22.6311513265,21.454066975913328
