GCM (circulation model),Jan,Feb,Mar,Apr,May,Jun,JulAug,Sep,Oct,Nov,Dec
bccr_bcm2_0,20.49609477,20.83202311,20.78226827,20.19473674,18.13048096,16.24712118,15.75934753,17.95248922,21.84145304,24.86735942,22.42319845
bccr_bcm2_0,20.69023946,20.60778809,20.7120636,20.07765706,18.18317566,16.16678772,15.84743754,17.81641439,21.64922078,25.00171712,22.48214111
cccma_cgcm3_1,22.6068807,22.35745443,22.55466817,22.29746501,19.50585022,16.87270304,16.26046855,19.185672,24.51556295,26.8114502,24.81534424
cccma_cgcm3_1,22.34982198,22.07987264,22.31824849,21.54827779,19.10920614,16.2257253,15.88887024,18.93055115,24.12476501,26.71547241,24.55097453
cnrm_cm3,21.47618103,21.64999593,21.53157959,19.80338542,16.50939433,13.26945394,13.72797343,17.00238444,22.07067159,24.21219177,23.00022888
cnrm_cm3,21.50688477,21.4310791,21.05205078,19.74218241,16.5443044,13.32363078,13.65578817,16.93714091,22.05636393,24.20959371,22.49713033
csiro_mk3_5,26.89639486,26.94193624,26.70788574,27.04705302,26.36894735,24.08327026,23.34268188,24.97578125,28.85310059,31.67656962,29.77870789
csiro_mk3_5,26.50225118,24.37718404,23.52489319,25.39251811,29.0264974,31.42653809,29.50027771,27.40284322,26.89301656,26.72450256,26.68463338
gfdl_cm2_0,20.745286051430003,21.11041870117,21.44021911620334,21.448238118479996,20.975108846026664,20.04790852864667,20.085705566399998,22.062999471033333,24.916271972656663,26.334169514966668,24.064460245766664
gfdl_cm2_0,20.798469034823338,21.08095703124333,21.35635782878,21.294002278656663,21.10823771159,20.194447835283327,20.07996826171334,21.911447143556668,25.15544433594,26.313367716469998,24.07939860025667
gfdl_cm2_1,20.96664428711333,21.203448486333336,21.13023071289334,21.02094930013333,20.143715413406664,18.917262776693335,19.68812052409334,21.63311055500667,24.63205769857,26.707383219406665,24.69839782715
gfdl_cm2_1,20.922188313803336,21.04959818521333,20.641361490876662,20.455185953780006,19.775359090170003,18.066916910819998,18.943030802406668,22.0031616211,24.645983886726672,26.74753011068,24.54350585937667
ingv_echam4,21.97514139810667,22.171006266279996,22.454889933263324,22.977123006193334,21.626182047529998,20.412532552090003,21.453202311206667,24.2316253662,28.147354125976662,27.325104777023334,23.55044555664
inmcm3_0,24.72667541503334,24.356339518229998,23.26139424642,20.09557800294,16.21900024413667,13.634217325849999,12.880771891279998,15.237265014650003,19.67855529784,23.801502482093323,25.195971679693333
inmcm3_0,24.793057250973334,24.148735555013324,22.854573567706666,19.90377909342333,16.415658569340003,13.479305013016665,12.906974283853334,15.000902303053332,19.504622395829994,23.725079345699996,24.70748087565
ipsl_cm4,24.997527058910006,25.173337809246668,25.38502298990333,24.62953084311,22.80604756673333,20.59340108235667,20.14468688964,22.115794881190002,24.759375000003335,27.02597961426,27.26004231771334
ipsl_cm4,24.90732116699333,25.056639607743325,25.215173339839996,24.626276652026664,22.91165059407333,20.821172078456666,20.065596516916667,21.986717732743337,25.4190592448,27.464211018883336,27.040357462559996
miroc3_2_medres,22.976169840500006,22.60883382160667,22.197850545243334,20.636611938476662,17.771906534843332,15.110959879556665,14.379575602223333,17.15279947916,21.319945271806663,23.57564595541,24.21422831217
miroc3_2_medres,22.784517415366675,22.54682617187333,21.799285888676668,20.28949890137,17.675741577146667,14.78788045247,14.033399454743334,16.628289794916665,20.687314860030003,23.679058837886664,24.380690511063335
miub_echo_g,21.02146199545,21.14924112956,21.043389892566665,20.88462931315667,19.678649902340002,19.436627197263338,20.509616088870008,23.452381388336672,26.907989501956674,26.508913167319992,22.861127726246664
miub_echo_g,20.981676228850002,20.936429850256662,21.08573811848333,20.823461914070002,19.63897705078,19.034077962233333,20.65576680502,23.23324279785,26.856868489579995,26.418787638343336,22.723106892903328
mpi_echam5,23.324584960936672,23.199404907220003,23.441705322259995,22.90201517741333,21.38182169596333,19.954091389983333,20.58128560384,23.034987386073333,26.02226359049333,27.601927693686665,25.913354492186667
mpi_echam5,22.98075866699333,22.98101298013334,23.029991658536666,22.67517395019333,21.020343017576668,19.401564534516663,19.96766153971,22.21875610352334,26.044789632163333,27.175709025069995,25.46850280761667
mri_cgcm2_3_2a,22.45450948079,22.273046875000002,22.860641479490003,22.226630655930002,19.80640360514,16.974790445956664,16.906360880533335,19.27410380045,23.02949829102,24.214427693689995,24.117078653970005
mri_cgcm2_3_2a,22.44729614257,22.098267618816674,22.716287231429998,21.987186686193336,19.82030639648667,17.17210489908,16.727070109053336,19.310916137699998,22.597126261389995,24.04453531900999,23.869787597656675
ukmo_hadcm3,22.983202107750003,23.02445475260667,22.85688374837,22.546317545576656,21.98657226562,21.54427591959334,21.96961568195667,23.917853800453333,26.521022542326666,27.40941670735667,26.155157470706662
ukmo_hadcm3,22.918836466463336,22.973731486006663,22.62308044434,22.326875813803333,21.779025268563327,21.069034830733337,21.458855183923333,23.78168640136333,26.19360351562666,27.464406331379998,25.86926167805333
ukmo_hadgem1,22.21764628092667,22.27441101073333,21.941948445636672,21.501353963216676,19.8934193929,18.50012715657,18.107232666023332,20.375319417316664,23.29499918618333,25.080879720043338,23.554522705083333
