ID,Species,Owner,Country.of.Origin,Company,Region,Producer,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
1,Arabica,metad plc,Ethiopia,metad agricultural developmet plc,guji-hambela,METAD PLC,2014,"April 4th, 2015",metad plc,NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,Green,1950,2200,2075
2,Arabica,metad plc,Ethiopia,metad agricultural developmet plc,guji-hambela,METAD PLC,2014,"April 4th, 2015",metad plc,NA,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,Green,1950,2200,2075
3,Arabica,grounds for health admin,Guatemala,NA,NA,NA,NA,"May 31st, 2010",Grounds for Health Admin,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0,NA,1600,1800,1700
4,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew debessa coffee plantation,oromia,Yidnekachew Dabessa Coffee Plantation,2014,"March 26th, 2015",Yidnekachew Dabessa,NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89,0.11,Green,1800,2200,2000
5,Arabica,metad plc,Ethiopia,metad agricultural developmet plc,guji-hambela,METAD PLC,2014,"April 4th, 2015",metad plc,NA,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,Green,1950,2200,2075
6,Arabica,ji-ae ahn,Brazil,NA,NA,NA,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,Bluish-Green,-1,-1,-1
7,Arabica,hugo valdivia,Peru,richmond investment-coffee department,NA,HVC,2012,"September 17th, 2012",Hugo Valdivia,NA,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,Bluish-Green,-1,-1,-1
8,Arabica,ethiopia commodity exchange,Ethiopia,NA,oromia,Bazen Agricultural & Industrial Dev't Plc,NA,"September 2nd, 2010",Ethiopia Commodity Exchange,NA,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9,88.67,0.03,NA,1570,1700,1635
9,Arabica,ethiopia commodity exchange,Ethiopia,NA,oromiya,Bazen Agricultural & Industrial Dev't Plc,NA,"September 2nd, 2010",Ethiopia Commodity Exchange,NA,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,NA,1570,1700,1635
10,Arabica,diamond enterprise plc,Ethiopia,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,2014,"March 30th, 2015",Diamond Enterprise Plc,NA,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,Green,1795,1850,1822
